id,data_visita,idade,genero,tipo_inscricao,tipo_treino,tempo_treino_minutos,calorias_queimadas,horario_check_in,status_presenca,periodo_check_in
1,2024-10-11,64,Outro,Anual,HIIT,28,171,20:04:00,Ausente,Noite
2,2024-06-01,65,Feminino,Trimestral,Treino de força,72,650,19:17:00,Ausente,Noite
3,2024-06-13,45,Masculino,Trimestral,Cardio,70,633,07:24:00,Ausente,Manhã
4,2024-02-05,35,Feminino,Mensal,CrossFit,64,362,07:18:00,Ausente,Manhã
5,2024-07-13,26,Feminino,Trimestral,Yoga,31,262,11:22:00,Ausente,Manhã
6,2024-09-11,45,Outro,Trimestral,Cardio,63,518,20:08:00,Presente,Noite
7,2024-02-22,30,Outro,Trimestral,CrossFit,50,404,18:17:00,Ausente,Noite
8,2024-05-04,38,Masculino,Anual,Yoga,99,959,21:59:00,Ausente,Noite
9,2024-02-10,61,Feminino,Mensal,CrossFit,36,289,09:39:00,Presente,Manhã
10,2024-08-14,36,Outro,Trimestral,Treino de força,94,643,11:29:00,Ausente,Manhã
11,2024-10-11,60,Feminino,Mensal,Treino de força,110,738,22:43:00,Presente,Noite
12,2024-12-25,26,Feminino,Mensal,HIIT,86,547,08:17:00,Ausente,Manhã
13,2024-06-28,48,Feminino,Trimestral,HIIT,44,389,19:08:00,Ausente,Noite
14,2024-12-01,54,Outro,Anual,Yoga,99,644,14:45:00,Ausente,Tarde
15,2024-07-08,40,Outro,Trimestral,CrossFit,99,643,20:18:00,Presente,Noite
16,2024-10-05,38,Outro,Mensal,HIIT,106,976,13:15:00,Ausente,Tarde
17,2024-12-01,28,Outro,Mensal,Yoga,34,244,09:13:00,Presente,Manhã
18,2024-06-27,35,Outro,Anual,CrossFit,25,211,18:38:00,Presente,Noite
19,2024-10-31,32,Feminino,Anual,CrossFit,55,402,09:06:00,Presente,Manhã
20,2024-07-31,32,Feminino,Mensal,CrossFit,48,330,10:35:00,Presente,Manhã
21,2024-01-02,51,Outro,Mensal,Cardio,68,526,16:58:00,Ausente,Tarde
22,2024-07-28,53,Feminino,Anual,HIIT,41,248,14:24:00,Ausente,Tarde
23,2024-05-06,30,Masculino,Trimestral,HIIT,98,577,20:49:00,Ausente,Noite
24,2024-07-31,20,Masculino,Mensal,CrossFit,104,589,21:37:00,Presente,Noite
25,2024-12-07,63,Masculino,Anual,Yoga,54,288,12:09:00,Presente,Tarde
26,2024-09-23,21,Feminino,Anual,Yoga,40,358,14:09:00,Ausente,Tarde
27,2024-06-12,52,Masculino,Mensal,CrossFit,77,620,14:48:00,Ausente,Tarde
28,2024-05-02,49,Outro,Anual,HIIT,37,187,19:56:00,Ausente,Noite
29,2024-02-07,39,Outro,Trimestral,Treino de força,120,991,21:23:00,Presente,Noite
30,2024-12-02,57,Feminino,Anual,CrossFit,96,621,13:16:00,Ausente,Tarde
31,2024-03-10,18,Masculino,Mensal,Cardio,52,455,09:43:00,Presente,Manhã
32,2024-12-19,19,Masculino,Mensal,CrossFit,59,374,19:23:00,Presente,Noite
33,2024-03-21,27,Feminino,Anual,Treino de força,23,127,22:44:00,Presente,Noite
34,2024-03-17,51,Masculino,Trimestral,CrossFit,36,208,20:18:00,Presente,Noite
35,2024-12-25,50,Feminino,Mensal,CrossFit,59,584,17:28:00,Presente,Tarde
36,2024-03-14,48,Masculino,Mensal,Cardio,20,159,07:50:00,Ausente,Manhã
37,2024-08-24,49,Feminino,Anual,Treino de força,81,756,11:16:00,Ausente,Manhã
38,2024-03-26,47,Feminino,Anual,CrossFit,107,779,15:14:00,Presente,Tarde
39,2024-05-21,61,Feminino,Mensal,Treino de força,94,737,08:57:00,Presente,Manhã
40,2024-05-25,26,Outro,Mensal,Yoga,100,562,05:16:00,Presente,Manhã
41,2024-04-27,50,Outro,Trimestral,HIIT,51,428,15:05:00,Presente,Tarde
